id;name;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;city
755858876344760781;Noe Vally entire guest suite overlooking downtown;130343524;94131;37.74372;-122.43571;Entire home/apt;150;1;1;2023-01-13;0.57;3;60;1;San Francisco
750201919439770778;San Francisco  Resort Studio Hotel;451666217;94108;37.79144;-122.40575;Entire home/apt;157;2;3;2023-02-03;0.83;6;79;3;San Francisco
13316914;Great Location!  Studio Apt in Georgetown/Burlieth;74877774;20007;38.91581;-77.07008;Entire home/apt;93;31;34;2022-08-13;0.48;1;119;6;Washington D.C.
2466942;Cozy Colonial N Convenient Location;12615669;20012;38.98661;-77.03505;Private room;140;7;55;2022-10-08;0.51;1;343;1;Washington D.C.
42036485;Dupont Circle 1BR nr. U St, Metro & Glen's Mkt;107434423;20009;38.91682139999999;-77.04277639999998;Entire home/apt;131;32;0;0;0.0;221;266;0;Washington D.C.
5577516;Beautiful Apartment with Green views;6875334;94122;37.75488;-122.46541;Entire home/apt;125;30;87;2022-11-26;1.16;2;214;3;San Francisco
686391155499709155;Lovely apartment in one of  the best neighborhoods;237691;94123;37.79982;-122.43189;Entire home/apt;200;30;1;2023-02-07;1.0;3;242;1;San Francisco
16869795;ECLECTIC MODERN LARGE DUPONT CIRCLE BROWNSTONE;35906337;20009;38.91695;-77.03865;Entire home/apt;963;3;50;2023-02-03;0.68;2;313;12;Washington D.C.
32082239;Luminous, stylish condo w full WFH setup;57115;20011;38.93785;-77.03337;Entire home/apt;125;31;4;2021-11-28;0.08;1;0;0;Washington D.C.
8208052;Five Star Luxury Condo Civic Center/Hayes Valley;43282341;94109;37.78376;-122.4234;Entire home/apt;125;60;14;2022-04-01;0.15;1;245;1;San Francisco
1456153;The French Victorian House With Bay Views;2059233;94110;37.74711;-122.40747;Entire home/apt;228;30;57;2020-01-17;0.51;4;0;0;San Francisco
52269214;Bright Room w/ Private Bathroom in Central DT SF;99542736;94107;37.78268;-122.39338;Private room;132;1;79;2023-02-14;4.62;5;185;71;San Francisco
37287951;Sunny Dolores Park Flat;4355687;94110;37.74952;-122.41932;Entire home/apt;251;30;0;0;0.0;1;218;0;San Francisco
16348139;Stunning 2-Bedroom with Rooftop Deck & City Views;7610972;94133;37.80154;-122.4131;Entire home/apt;750;3;40;2023-01-03;0.57;2;69;19;San Francisco
38675356;#aF15 Private room for 1-2 near Union Sq/Downtown;267895362;94109;37.79124;-122.4193;Private room;50;365;0;0;0.0;55;0;0;San Francisco
10405545;Bright & Sunny--Luxury + Location!;53580080;20003;38.88745;-76.99925;Hotel room;165;31;76;2023-02-26;0.89;11;349;13;Washington D.C.
31239154;Modern Apartment in the Heart of Capitol Hill;4481188;20002;38.89483;-76.9968;Entire home/apt;101;21;112;2023-02-23;2.28;1;28;15;Washington D.C.
47719078;Hotel Griffon by the Bay, queen bedded room;384415937;94105;37.79285;-122.39226;Private room;25000;1;99;2023-01-12;3.87;1;0;25;San Francisco
42037592;Capitol Hill/Eastern Market Carriage House;8760797;20003;38.88075;-76.99384;Entire home/apt;123;2;94;2023-03-14;2.53;1;19;43;Washington D.C.
46233171;S. Beach 2BR w/ Pool, Gym, Shops & Dining Onsite;107434423;94107;37.782342;-122.388737;Entire home/apt;289;31;0;0;0.0;138;237;0;San Francisco
24755682;Bright & Spacious Mission Studio;4430421;94110;37.76432;-122.4186;Entire home/apt;90;30;1;2022-08-20;0.15;154;177;1;San Francisco
705668969700624589;Nob Hill 1 BR w/ Office by Anyplace - 11442;415840703;94108;37.7895;-122.40912;Entire home/apt;201;30;2;2023-02-24;0.53;24;315;2;San Francisco
50159258;Charming Suite - self check-in & parking near SFO;404429929;94134;37.71293;-122.41278;Entire home/apt;113;1;141;2023-02-21;6.65;1;112;84;San Francisco
48202229;Studio inside a world famous building;7873769;94133;37.8026;-122.41622;Entire home/apt;150;30;6;2022-02-28;0.25;5;0;0;San Francisco
654279;Quiet Room in Our Friendly Home;3289160;94124;37.74444;-122.40408;Private room;95;3;332;2023-01-29;2.59;1;170;15;San Francisco
569488134503933012;Spacious and quiet 1 Bedroom with parking included;38836;94122;37.75692;-122.47084;Entire home/apt;114;30;0;0;0.0;22;0;0;San Francisco
15216713;Charming space near shops/dining. Bernal Heights.;127367;94110;37.74353;-122.42045;Entire home/apt;95;30;6;2022-08-20;0.08;6;282;1;San Francisco
12643387;Trendy Apt in Columbia Heights!;45142183;20001;38.92677;-77.02427;Entire home/apt;97;31;12;2016-09-01;0.14;1;0;0;Washington D.C.
37972512;#F43 Double room near SoMa;267895362;94103;37.76916;-122.4234;Private room;50;365;0;0;0.0;55;365;0;San Francisco
600427403866660581;Mission Bay 2BR w/ Gym & W/D, nr Caltrain & Muni;107434423;94158;37.773377;-122.396868;Entire home/apt;268;31;0;0;0.0;138;331;0;San Francisco
23453808;Sunny Suite One Block from Golden Gate Park;174981520;94118;37.77459;-122.46735;Private room;114;2;114;2023-02-26;2.01;3;360;26;San Francisco
23791737;La Côte-du-Sud;178532898;20011;38.96504;-77.02982;Entire home/apt;94;2;265;2023-03-09;4.43;1;232;31;Washington D.C.
25280093;DC Getaway-Heart of the Capital- Plus Parking!;16259214;20002;38.899891;-76.999733;Entire home/apt;151;2;261;2023-03-04;4.48;1;36;60;Washington D.C.
50824084;Victorian home in the Mission;90565;94110;37.758256;-122.4196164;Private room;105;1;4;2022-10-30;0.71;1;237;4;San Francisco
19404978;See the Marin Headlands from this lovely 1 bedroom;135377800;94122;37.75433;-122.47838;Private room;85;2;183;2022-12-22;2.64;2;166;30;San Francisco
51438696;Modern Studio Minimal Living Maximum Lifestyle 401;253575857;94109;37.79169;-122.4194;Private room;120;1;15;2023-01-11;0.79;36;172;9;San Francisco
24227047;Cozy 1 bedroom - walk to Nat'l Mall & 2 metros!;42023851;20037;38.90496;-77.04936;Private room;150;31;0;0;0.0;1;0;0;Washington D.C.
15024335;2-Bdrm in Dogpatch (Entire flat/self check-in);48503905;94107;37.75738;-122.38933;Entire home/apt;600;2;57;2023-01-12;0.73;1;85;8;San Francisco
1752371;Large Private Peaceful w/Garden, Office & Wa/Dryr.;9218238;94110;37.74043;-122.41299;Entire home/apt;162;2;295;2023-02-24;4.75;1;160;58;San Francisco
16806562;Bright studio blocks to national mall;67990551;20024;38.88253;-77.01708;Entire home/apt;375;31;1;2017-01-22;0.01;1;0;0;Washington D.C.
35494116;Music City Hotel, Single Bed 6-Bed Female Dorm Rm;102523118;94109;37.79298;-122.42124;Shared room;51;1;176;2023-02-13;4.11;12;354;59;San Francisco
17318005;Idyllic Garden Apartment  on  Duboce Park;12767826;94114;37.76898;-122.43406;Entire home/apt;116;30;126;2023-02-28;1.73;1;224;8;San Francisco
29189874;New, Cozy and Modern Apartment;36301205;20012;38.97035;-77.01647;Entire home/apt;75;31;36;2020-03-05;0.67;1;0;0;Washington D.C.
16040704;Recently Renovated Basement Apartment;104395921;20011;38.94906;-77.03563;Entire home/apt;130;31;52;2019-04-07;0.69;1;0;0;Washington D.C.
36139589;BART Civic Center - Moscone Convention Center;103884979;94103;37.77209;-122.40882;Hotel room;92;1;127;2023-02-28;2.87;14;156;68;San Francisco
803985455920329562;San Francisco home with panoramic city view;391269787;94110;37.74489228109915;-122.41067783543298;Entire home/apt;205;4;3;2023-02-14;1.84;1;33;3;San Francisco
12948696;Chill Group House in Central DC;11310397;20001;38.91777;-77.00957;Private room;65;31;5;2016-05-30;0.06;1;0;0;Washington D.C.
30713782;Dogpatch/MissionBay private room w/bath.;21817808;94107;37.75928;-122.39145;Private room;92;4;52;2023-02-25;1.02;2;56;14;San Francisco
16913294;San Francisco Embarcadero Waterfront Quarterly Stay;9354894;94105;37.78721;-122.39027;Private room;98;31;11;2020-03-15;0.15;4;365;0;San Francisco
720811;Private Apartment in the Inner Richmond of SF;93873;94118;37.77739;-122.46161;Entire home/apt;166;3;280;2023-02-11;2.22;1;59;28;San Francisco
732206307703852533;Chic and cozy private room in Union Square;482579048;94102;37.78592;-122.40928;Private room;65;180;0;0;0.0;1;268;0;San Francisco
12902944;2 BR in House in Georgetown;70689374;20007;38.90795;-77.05499;Entire home/apt;250;365;1;2020-09-30;0.03;2;178;0;Washington D.C.
21786174;Downtown Studio w/ Comforts of Home!;4430421;94102;37.786;-122.41121;Entire home/apt;79;30;9;2022-10-08;0.15;154;177;4;San Francisco
23556288;Spacious, Massive DC Rowhouse in Logan Circle;9680354;20001;38.91063;-77.02461;Entire home/apt;1237;2;191;2023-03-05;3.12;13;201;6;Washington D.C.
46319218;Lower Haight Central Studio;6782071;94117;37.77201;-122.42954;Entire home/apt;100;30;10;2022-11-07;0.43;7;70;4;San Francisco
53495313;Inner Sunset Garden;91333416;94122;37.75905;-122.46796;Entire home/apt;115;30;1;2022-11-20;0.28;25;364;1;San Francisco
45241087;Freshly updated apartment in Bernal Heights;82839;94110;37.74254;-122.42031;Entire home/apt;100;30;4;2022-10-29;0.14;1;217;2;San Francisco
628488511039002262;Cozy Room w/ Bay Windows in the Heart of SF;10779823;94103;37.77594;-122.40395;Private room;129;2;5;2022-12-08;0.54;6;33;5;San Francisco
40821231;Bright and Stylish 1-Bdr Sunset Home;1759228;94122;37.75959;-122.4774;Entire home/apt;225;5;10;2023-01-01;0.79;1;0;8;San Francisco
14490262;Two Bedroom, Two Newly Renovated Bathrooms, Large Deck;6920252;94107;37.75673;-122.40261;Entire home/apt;350;4;122;2023-03-04;1.55;1;289;24;San Francisco
16412264;Basement Suite (No Smoking);2615928;20020;38.84485;-76.98004;Entire home/apt;90;31;85;2022-06-12;1.37;1;90;8;Washington D.C.
635304024315850285;private bedroom in the the financial district!;88593294;94111;37.79719;-122.39965;Private room;75;31;2;2022-12-10;0.42;1;218;2;San Francisco
41824348;Cozy garden apartment in Duboce Triangle;46008084;94114;37.76782;-122.43371;Entire home/apt;250;7;1;2022-04-04;0.09;2;31;1;San Francisco
53548944;Dog-friendly 3 blocks from park!;2968051;94122;37.75932295104104;-122.478998046395;Entire home/apt;225;6;2;2023-03-05;1.22;1;123;2;San Francisco
699212870801473557;Renovated 1Bd Nob Hill Condo near Union Square;1257432;94109;37.78922813098569;-122.41381335538156;Entire home/apt;125;30;0;0;0.0;28;353;0;San Francisco
20990167;Sunny Marina Studio;14171159;94123;37.80296;-122.43642;Entire home/apt;195;30;2;2018-02-25;0.03;1;0;0;San Francisco
13210656;PVT Bed + PVT Bath Close to Metro in Historic DC!;55009;20002;38.91315;-77.00275;Private room;45;32;25;2020-03-07;0.3;8;116;0;Washington D.C.
786261918034714447;Contemporary Garden Carriage House;244335863;94107;37.75748163105602;-122.38998113183985;Entire home/apt;125;30;1;2023-02-18;1.0;2;284;1;San Francisco
25443874;C&C Next to GG Park;191314376;94122;37.76358;-122.47846;Private room;66;1;152;2023-02-19;2.99;4;82;42;San Francisco
25162568;FAMILY-FRIENDLY | SUBWAY | ROOFTOP DECK | AU;190135215;20008;38.94713;-77.07217;Entire home/apt;300;3;86;2023-02-12;1.46;1;146;22;Washington D.C.
36259395;DuPont Circle/Kalorama Luxury Apartment Suite 7;269834634;20008;38.91502;-77.04725;Entire home/apt;276;1;140;2023-02-26;3.13;11;287;24;Washington D.C.
16885819;District King;89707115;20016;38.95162;-77.0948;Private room;50;14;6;2017-08-25;0.08;2;253;0;Washington D.C.
2959323;Fantastic Hotel/TS (Union Square);6346492;94102;37.78672;-122.41123;Private room;180;1;10;2017-10-25;0.09;29;0;0;San Francisco
24284729;Furnished Garden Studio w/ pond -Dolores St. area;23319517;94103;37.76846;-122.42513;Entire home/apt;205;30;1;2022-04-02;0.09;2;296;1;San Francisco
773498117232132163;Storybook with Ocean View & near Gold Gate Park;469491052;94122;37.75728;-122.49626;Entire home/apt;410;2;5;2023-02-14;1.92;1;0;5;San Francisco
900393;Comfortable Potrero Hill 2 BDR Home;4808354;94107;37.7577;-122.39958;Entire home/apt;295;30;94;2019-05-21;0.77;1;279;0;San Francisco
774901709098066389;Private Guest suite in San Francisco;490269665;94127;37.72486894434871;-122.4656223899993;Entire home/apt;166;1;4;2023-02-21;1.85;1;68;4;San Francisco
15613006;Bright & Spacious Edwardian Flat.  Great Walking!;93041478;94118;37.78341;-122.46613;Entire home/apt;350;30;2;2022-04-02;0.03;1;32;1;San Francisco
41880509;UPSCALE DC GETAWAY HOME ✭✭✭✭✭ PRIVACY and YARD!;331173382;20008;38.93616;-77.05116;Entire home/apt;374;31;32;2021-08-22;0.84;1;0;0;Washington D.C.
22970151;Artistic 1BR Apartment in Beautiful Russian Hill;168622682;94109;37.79731;-122.42157;Entire home/apt;177;30;37;2022-12-18;0.6;1;109;5;San Francisco
33969918;Premium Queen Room B;250109940;94102;37.78127;-122.41271;Hotel room;119;1;6;2022-04-17;0.47;9;299;5;San Francisco
774629074398994911;JPM Deluxe Union Square Suite 7;5805679;94109;37.7889904;-122.4127915;Private room;1000;4;0;0;0.0;29;4;0;San Francisco
18794629;Red Victorian - Private room for 4, Friends Room;117141107;94117;37.76944;-122.44992;Private room;90;1;60;2019-03-22;0.86;43;0;0;San Francisco
41545787;Residential Standard Queen with Shared Bathroom;310732156;94103;37.76735;-122.42075;Private room;95;1;15;2023-02-10;0.45;3;348;5;San Francisco
700715452916281253;Designer Studio in Soma with city view;105398835;94103;37.7727237;-122.4196939;Entire home/apt;109;30;0;0;0.0;1;302;0;San Francisco
15419112;Logan Circle Luxury w/ Parking Pass!;46630199;20009;38.9121;-77.02921;Entire home/apt;316;31;196;2022-11-20;2.51;94;109;11;Washington D.C.
37431165;Comfortable Convenient BR Blocks to Capitol & More;141298284;20003;38.881001;-76.997498;Private room;71;90;14;2022-08-02;0.63;4;228;4;Washington D.C.
33634536;Lower Nob Hill Studio w/ Gym, W/D, A/C, nr CPMC;107434423;94109;37.78753;-122.421312;Entire home/apt;179;31;0;0;0.0;138;351;0;San Francisco
691023;Modern and Serene House on Dolores Park;3531780;94114;37.75757;-122.42693;Entire home/apt;500;4;48;2022-11-27;0.38;1;19;11;San Francisco
17011295;Contemporary & Comfy - Moscone Convention Center;103884979;94103;37.77628;-122.41507;Private room;90;1;107;2023-02-04;1.45;14;198;33;San Francisco
229319;Bernal pied-à-terre;12798954;94110;37.73825;-122.41451;Entire home/apt;239;5;27;2022-12-27;0.2;2;145;9;San Francisco
36556453;Hotel Style 1-Bedroom Suite - Walk to Union Square;70722023;94108;37.7915;-122.40737;Entire home/apt;65;2;3;2023-01-12;0.07;41;1;1;San Francisco
2970253;Hillside Bernal Apartment w/ Easy Street Parking;3400909;94110;37.74369;-122.4088;Entire home/apt;99;30;7;2020-09-01;0.12;1;0;0;San Francisco
35225262;Great Cozy Ground level unit w/ full kitchen!;110083911;20020;38.85342;-76.98568;Private room;58;31;28;2022-11-28;0.62;1;365;4;Washington D.C.
34180366;Beautiful 1BR Apt Near Downtown Washington DC;48005494;20001;38.90381;-77.01682;Entire home/apt;150;31;7;2022-04-17;0.16;138;209;1;Washington D.C.
22794533;Furnished Bedroom for Intern or Traveling Prof;5202852;20002;38.90561;-76.98476;Private room;85;31;0;0;0.0;1;0;0;Washington D.C.
573147546117401069;Spacious, modern, upscale home in Potrero Hill.;19521091;94103;37.76478;-122.40694;Entire home/apt;395;3;5;2022-10-24;0.9;1;102;5;San Francisco
565866741003666231;Gorgeous Apt High Atop Nob Hill;304721494;94108;37.7934;-122.41257;Entire home/apt;199;30;0;0;0.0;12;365;0;San Francisco
808621892285159030;CW The Donatello | King Bed Studio Suite;480237365;94102;37.788846757832445;-122.4096091144641;Entire home/apt;243;2;0;0;0.0;6;162;0;San Francisco
17172606;201C Cozy Shared Room in CoHi DC! (Male Only);26389480;20009;38.92742;-77.02941;Shared room;45;1;71;2022-10-13;0.96;19;177;5;Washington D.C.
16392395;Studio-Hotel WorldMark-SanFrancisco#9;19139775;94108;37.79092;-122.40604;Entire home/apt;256;31;4;2018-01-12;0.05;2;365;0;San Francisco
5086367;Semi-Circle Modern Room / Private Street Entrance;5026313;94115;37.78311;-122.44043;Private room;69;30;12;2022-12-09;0.12;3;223;2;San Francisco
34895725;One Bedroom Apartment 506_Georgetown;216259133;20037;38.90332;-77.05114;Entire home/apt;139;31;14;2021-04-03;0.31;6;0;0;Washington D.C.
37303418;Superb, Designed, Historic House in Georgetown;220632646;20007;38.90781;-77.06249;Entire home/apt;612;2;198;2023-03-12;4.58;1;82;64;Washington D.C.
1979461;Walk to the Waterfront from a High-Tech Studio Flat;6744265;94105;37.78627;-122.39069;Entire home/apt;144;30;23;2023-01-08;0.25;1;153;5;San Francisco
30512163;Perfect for business in DC!  5 star, 3 level home;77230802;20001;38.91487;-77.02407;Entire home/apt;625;6;17;2022-07-17;0.33;2;0;10;Washington D.C.
487499;Mission District - Perfect Location;1682183;94110;37.75884;-122.42232;Entire home/apt;125;30;192;2022-10-31;1.48;1;239;4;San Francisco
36028494;Yours Truly DC, Cityview King;268577141;20037;38.90481;-77.04759;Private room;370;31;9;2021-07-04;0.31;10;365;0;Washington D.C.
802371280044490402;Vintage Love Shack 200m to Beach/Golden Gate Park;6165573;94122;37.76221171776687;-122.5075101125534;Entire home/apt;231;3;1;2023-02-22;1.0;1;66;1;San Francisco
31123927;Recently Remodeled Guest Suite in Prime Location;232610653;94118;37.78297;-122.46461;Entire home/apt;129;2;173;2023-03-01;3.6;1;177;38;San Francisco
13100047;SF Hotel Studio: Union Square (12);22267033;94102;37.78694;-122.40967;Entire home/apt;306;2;18;2019-10-25;0.23;19;359;0;San Francisco
29853236;PRO-CLEAN near US Capitol, Metro & Shops/PARK FREE;69203193;20003;38.88059;-76.99239;Entire home/apt;299;31;100;2022-05-07;1.89;35;232;1;Washington D.C.
8372234;“The Mark” Brownstone-Sleeps 10-12;41656215;20010;38.93155;-77.02948;Entire home/apt;1250;2;8;2023-02-20;0.1;9;240;5;Washington D.C.
43349696;*Discounted* Exclusive 1 bedrm w Kitchen&Living Rm;226555948;94134;37.72578;-122.40243;Entire home/apt;59;30;3;2022-09-01;0.1;14;364;1;San Francisco
13697918;Classic 2 bedroom apartment in a great location!;16644446;20005;38.90748;-77.02939;Entire home/apt;249;30;6;2021-06-23;0.11;17;0;0;Washington D.C.
49263227;Yoga Room: Good vibes, natural light, tall ceiling;20717633;94115;37.78047;-122.43017;Private room;99;1;85;2023-02-24;4.4;3;139;56;San Francisco
29487241;Perfect DC Location! You'll Never Want to Leave.;86401186;20002;38.90386;-76.99825;Private room;87;2;149;2023-03-16;2.81;3;305;49;Washington D.C.
16612567;Wonderful W. Street Suite at the best location!;109644708;20020;38.86339;-76.97886;Entire home/apt;69;31;53;2022-06-11;0.78;1;318;6;Washington D.C.
21427161;Cozy get away;155303103;20011;38.95546;-77.02257;Private room;95;31;0;0;0.0;1;0;0;Washington D.C.
6389428;Park View;22653397;20001;38.91447;-77.025;Private room;109;31;52;2022-07-16;0.55;2;89;4;Washington D.C.
6200202;Master and Basement in New Beautiful Row Home;18045188;20002;38.91587;-77.00402;Private room;299;31;0;0;0.0;1;0;0;Washington D.C.
501809;Upstair Private Close to Everything;481929;20001;38.91454;-77.01814;Private room;76;31;33;2022-10-02;0.28;4;160;2;Washington D.C.
11637325;Classic Colonial 3BR Home in the Heart of Petworth;61680461;20011;38.94478;-77.02662;Entire home/apt;205;3;126;2023-03-06;1.67;1;186;14;Washington D.C.
48197124;Master in Modern Flat w/ Ensuite Bath, City Views;253059;94103;37.76642;-122.40837;Private room;182;30;0;0;0.0;3;116;0;San Francisco
9433478;Lovely Modern 2 Bedroom-Location!;48895257;94133;37.79603;-122.41259;Entire home/apt;145;30;7;2022-08-20;0.08;1;274;2;San Francisco
39996459;!W Ground room W w/private bath;281939482;94134;37.71622;-122.43053;Private room;62;1;205;2023-02-25;5.22;4;344;75;San Francisco
50380218;CASABLANCA -Grand Edwardian View home;406974141;94117;37.76393;-122.45396;Entire home/apt;2000;3;12;2022-10-23;0.65;1;349;6;San Francisco
19503995;Affordable Charm Cap. Hill 1 Bedrm (King Bed);13743641;20002;38.89265;-76.99809;Entire home/apt;149;1;172;2023-01-30;2.49;8;113;34;Washington D.C.
19207688;CONVENTION CENTER/SHAW DowntownDC PRIVATE BED/BATH;126333441;20001;38.90822;-77.01468;Private room;88;1;343;2023-03-02;4.89;4;188;52;Washington D.C.
16530141;907Euclid202;108719050;20001;38.92311;-77.02389;Entire home/apt;250;31;10;2019-09-24;0.13;1;0;0;Washington D.C.
3509878;"2-3 Bed ""HISTORIC MODERN"" nr Valencia & Dolores Pk";4152942;94110;37.76048;-122.42223;Entire home/apt;155;100;22;2021-12-24;0.21;4;221;0;San Francisco
799558825273389414;Family friendly house w/parking near the park;6473969;94117;37.76973906177382;-122.43344168621763;Entire home/apt;525;2;0;0;0.0;1;25;0;San Francisco
9428134;Walk to class across from Wellness Center/parking;37580895;20037;38.89935;-77.05165;Entire home/apt;145;31;37;2021-09-27;0.45;1;362;0;Washington D.C.
706622701100970112;Private room North Beach/Chinatown.;456822412;94133;37.79901;-122.40568;Private room;10000;300;1;2022-09-04;0.16;1;364;1;San Francisco
9295965;PREMIUM LOCATION!! private entry, room, bath;48261523;94115;37.78687;-122.43205;Private room;157;2;157;2023-02-05;1.96;1;308;26;San Francisco
38674830;#D43 Double Sunny Room in near SoMa / Center;267895362;94102;37.77127;-122.42482;Private room;60;365;2;2020-01-30;0.05;55;365;0;San Francisco
15194332;GEM in the heart of the City !;96476055;20036;38.90624;-77.04689;Entire home/apt;184;31;231;2022-10-30;2.94;1;364;19;Washington D.C.
48907152;Donatello Hotel:_;52178915;94102;37.78753;-122.40927;Entire home/apt;119;2;24;2022-12-06;1.02;43;0;15;San Francisco
28074409;Stunning Bay View! Prime North Beach Location!;212075336;94133;37.80127;-122.41362;Entire home/apt;514;2;62;2023-02-18;1.14;1;47;20;San Francisco
23873985;Jewel Box in DC;8428529;20008;38.93535;-77.05795;Entire home/apt;75;31;3;2018-05-28;0.05;1;0;0;Washington D.C.
813748891654356337;Hip & Modern 3br/3ba: Deck-Yard-Views-90 WalkScore;14649347;94131;37.74509100160759;-122.4288071374871;Entire home/apt;320;30;0;0;0.0;1;119;0;San Francisco
32515738;Perfect location in Washington DC;122447633;20011;38.95907;-77.02405;Entire home/apt;175;3;115;2023-02-20;2.35;1;130;29;Washington D.C.
39653265;Masterbedroom with Your Own Bathroom Near GGPark;5977346;94122;37.75566;-122.4799;Private room;85;30;2;2019-12-10;0.05;5;167;0;San Francisco
